Leduc Poker CFR Results
============================================================

Round 1 Nodes (0-23):
----------------------------------------
J:           -> c:0.9060, r:0.0940
J:r          -> c:0.7826, b:0.1677, r:0.0497
J:rr         -> c:0.0000, b:0.8042, r:0.1957
J:rrr        -> c:0.0000, b:1.0000
J:c          -> c:0.6769, r:0.3231
J:cr         -> c:0.9417, b:0.0367, r:0.0216
J:crr        -> c:0.0000, b:0.9582, r:0.0418
J:crrr       -> c:0.0000, b:1.0000
Q:           -> c:0.2295, r:0.7705
Q:r          -> c:0.0012, b:0.7876, r:0.2111
Q:rr         -> c:0.0000, b:0.9885, r:0.0115
Q:rrr        -> c:0.0000, b:1.0000
Q:c          -> c:0.1501, r:0.8499
Q:cr         -> c:0.0237, b:0.7488, r:0.2275
Q:crr        -> c:0.0000, b:0.9656, r:0.0344
Q:crrr       -> c:0.0000, b:1.0000
K:           -> c:0.2566, r:0.7434
K:r          -> c:0.0001, b:0.5081, r:0.4919
K:rr         -> c:0.0000, b:0.7099, r:0.2901
K:rrr        -> c:0.0000, b:1.0000
K:c          -> c:0.0004, r:0.9996
K:cr         -> c:0.0001, b:0.2326, r:0.7673
K:crr        -> c:0.0001, b:0.9031, r:0.0968
K:crrr       -> c:0.0000, b:1.0000

Round 2 Nodes (24-527):
----------------------------------------
J|J:rb/              -> c:0.1147, r:0.8853
J|J:rrb/             -> c:0.0278, r:0.9722
J|J:rrrb/            -> c:0.0151, r:0.9849
J|J:c/               -> c:0.9998, r:0.0002
J|J:crb/             -> c:0.1243, r:0.8757
J|J:crrb/            -> c:0.1803, r:0.8197
J|J:crrrb/           -> c:0.0083, r:0.9917
Q|J:rb/              -> c:0.9887, r:0.0113
Q|J:rrb/             -> c:0.9980, r:0.0020
Q|J:rrrb/            -> c:0.9865, r:0.0135
Q|J:c/               -> c:1.0000, r:0.0000
Q|J:crb/             -> c:0.9621, r:0.0379
Q|J:crrb/            -> c:0.9643, r:0.0357
Q|J:crrrb/           -> c:0.9911, r:0.0089
K|J:rb/              -> c:0.9251, r:0.0749
K|J:rrb/             -> c:0.9042, r:0.0958
K|J:rrrb/            -> c:0.9424, r:0.0576
K|J:c/               -> c:0.9993, r:0.0007
K|J:crb/             -> c:0.9996, r:0.0004
K|J:crrb/            -> c:0.9751, r:0.0249
K|J:crrrb/           -> c:0.5820, r:0.4180
J|J:rb/r             -> c:0.0001, b:0.0001, r:0.9998
J|J:rrb/r            -> c:0.0001, b:0.0008, r:0.9991
J|J:rrrb/r           -> c:0.0001, b:0.0009, r:0.9991
J|J:c/r              -> c:0.0000, b:0.0000, r:1.0000
J|J:crb/r            -> c:0.0001, b:0.0002, r:0.9997
J|J:crrb/r           -> c:0.0000, b:0.0000, r:1.0000
J|J:crrrb/r          -> c:0.0012, b:0.0055, r:0.9932
Q|J:rb/r             -> c:0.9751, b:0.0001, r:0.0248
Q|J:rrb/r            -> c:0.9887, b:0.0002, r:0.0110
Q|J:rrrb/r           -> c:0.9919, b:0.0002, r:0.0079
Q|J:c/r              -> c:0.9995, b:0.0002, r:0.0003
Q|J:crb/r            -> c:0.9993, b:0.0007, r:0.0000
Q|J:crrb/r           -> c:0.9816, b:0.0003, r:0.0181
Q|J:crrrb/r          -> c:0.9631, b:0.0369, r:0.0000
K|J:rb/r             -> c:0.1957, b:0.8043, r:0.0000
K|J:rrb/r            -> c:0.1613, b:0.8385, r:0.0003
K|J:rrrb/r           -> c:0.0091, b:0.9909, r:0.0000
K|J:c/r              -> c:0.8559, b:0.0948, r:0.0493
K|J:crb/r            -> c:0.2780, b:0.7208, r:0.0012
K|J:crrb/r           -> c:0.1032, b:0.8876, r:0.0092
K|J:crrrb/r          -> c:0.0766, b:0.8322, r:0.0912
J|J:rb/rr            -> c:0.0001, b:0.0006, r:0.9993
J|J:rrb/rr           -> c:0.0000, b:0.0001, r:0.9999
J|J:rrrb/rr          -> c:0.0005, b:0.0027, r:0.9969
J|J:c/rr             -> c:0.0000, b:0.2917, r:0.7083
J|J:crb/rr           -> c:0.0000, b:0.0009, r:0.9991
J|J:crrb/rr          -> c:0.0000, b:0.0008, r:0.9992
J|J:crrrb/rr         -> c:0.0000, b:0.0009, r:0.9991
Q|J:rb/rr            -> c:0.9797, b:0.0005, r:0.0198
Q|J:rrb/rr           -> c:0.7058, b:0.1553, r:0.1389
Q|J:rrrb/rr          -> c:0.2723, b:0.1634, r:0.5643
Q|J:c/rr             -> c:0.3333, b:0.3333, r:0.3333
Q|J:crb/rr           -> c:0.9588, b:0.0001, r:0.0411
Q|J:crrb/rr          -> c:0.8366, b:0.0027, r:0.1607
Q|J:crrrb/rr         -> c:0.0007, b:0.0007, r:0.9985
K|J:rb/rr            -> c:0.6272, b:0.3635, r:0.0093
K|J:rrb/rr           -> c:0.5770, b:0.4169, r:0.0061
K|J:rrrb/rr          -> c:0.1058, b:0.8246, r:0.0695
K|J:c/rr             -> c:0.0578, b:0.3001, r:0.6421
K|J:crb/rr           -> c:0.7873, b:0.0872, r:0.1255
K|J:crrb/rr          -> c:0.3796, b:0.6107, r:0.0097
K|J:crrrb/rr         -> c:0.0004, b:0.9895, r:0.0101
J|J:rb/rrr           -> c:0.0000, b:1.0000
J|J:rrb/rrr          -> c:0.0000, b:1.0000
J|J:rrrb/rrr         -> c:0.0000, b:1.0000
J|J:c/rrr            -> c:0.0000, b:1.0000
J|J:crb/rrr          -> c:0.0000, b:1.0000
J|J:crrb/rrr         -> c:0.0000, b:1.0000
J|J:crrrb/rrr        -> c:0.0006, b:0.9994
Q|J:rb/rrr           -> c:0.9927, b:0.0073
Q|J:rrb/rrr          -> c:0.9166, b:0.0834
Q|J:rrrb/rrr         -> c:0.8298, b:0.1702
Q|J:c/rrr            -> c:0.1444, b:0.8556
